k,basic_ops,hash_function
153700320,10054366,vanilla
76850160,10054613,vanilla
38425080,10140106,vanilla
19212540,10801240,vanila
9606270,11304360,vanilla
4803135,14079813,vanilla
2401567,20443865,vanilla
1200783,33140146,vanilla
600391,57412785,vanilla
300195,106885360,vanilla
153700320,10054385,binary
76850160,10072715,binary
38425080,10084756,binary
19212540,10666478,binary
9606270,12733148,binary
4803135,14583063,binary
2401567,20569764,binary
600391,58011531,binary
300195,106777820,binary
